attribution_id,user_id,campaign_id,touchpoint_date,touchpoint_type,platform,device,attribution_model,attribution_weight,converted,conversion_value
ATTR00001356,USR00003396,CMP000061,2025-06-22,Impression,YouTube,Smart TV,Linear,0.33,False,0
ATTR00001357,USR00003171,CMP000082,2025-05-29,View,Instagram,Tablet,First Touch,0.83,False,0
ATTR00001358,USR00009537,CMP000021,2024-07-13,Impression,Instagram,Web Browser,Time Decay,0.23,False,0
ATTR00001359,USR00005367,CMP000049,2025-02-05,Impression,Programmatic,Smart TV,Time Decay,0.14,False,13.25
ATTR00001360,USR00000344,CMP000051,2024-09-19,Click,YouTube,Tablet,Last Touch,0.54,False,0
ATTR00001361,USR00000357,CMP000027,2025-02-28,Impression,TikTok,Mobile,Linear,0.78,True,0
ATTR00001362,USR00001572,CMP000055,2025-02-03,Click,Programmatic,Gaming Console,Time Decay,0.54,False,0
ATTR00001363,USR00006381,CMP000052,2025-01-01,View,Instagram,Tablet,First Touch,0.32,False,0
ATTR00001364,USR00000695,CMP000051,2024-08-27,Impression,TikTok,Smart TV,First Touch,0.89,False,0
ATTR00001365,USR00002188,CMP000067,2024-12-13,Click,YouTube,Web Browser,First Touch,0.14,False,0
ATTR00001366,USR00000514,CMP000083,2025-02-10,Click,Facebook,Smart TV,Linear,0.99,False,0
ATTR00001367,USR00005511,CMP000096,2024-10-17,Click,LinkedIn,Smart TV,Last Touch,0.48,False,0
ATTR00001368,USR00000528,CMP000044,2025-02-25,View,Programmatic,Smart TV,Time Decay,0.12,False,0
ATTR00001369,USR00003690,CMP000086,2024-07-19,Click,Twitter,Gaming Console,Linear,0.86,False,0
ATTR00001370,USR00006748,CMP000002,2024-09-25,View,Programmatic,Mobile,Linear,0.24,False,0
ATTR00001371,USR00003268,CMP000010,2024-12-12,Impression,Programmatic,Smart TV,Linear,0.21,False,0
ATTR00001372,USR00000759,CMP000094,2025-01-31,Impression,Google Ads,Mobile,Time Decay,0.24,False,12.21
ATTR00001373,USR00002640,CMP000065,2025-03-14,Impression,Twitter,Tablet,First Touch,0.71,False,0
ATTR00001374,USR00005429,CMP000025,2024-08-12,Impression,Google Ads,Smart TV,Linear,0.46,True,0
ATTR00001375,USR00008940,CMP000013,2025-06-04,Click,LinkedIn,Smart TV,Last Touch,0.5,False,0
ATTR00001376,USR00008045,CMP000005,2024-12-18,Impression,Facebook,Mobile,First Touch,0.92,False,0
ATTR00001377,USR00007638,CMP000064,2025-03-30,Click,Twitter,Smart TV,Last Touch,0.81,False,0
ATTR00001378,USR00008991,CMP000075,2025-02-21,Click,TikTok,Mobile,Linear,0.67,False,0
ATTR00001379,USR00002722,CMP000093,2024-07-14,Impression,Facebook,Tablet,Linear,0.17,False,0
ATTR00001380,USR00005024,CMP000058,2024-11-27,View,Programmatic,Streaming Device,Linear,0.62,False,0
ATTR00001381,USR00002478,CMP000081,2025-03-16,Click,Facebook,Smart TV,Last Touch,0.36,False,13.81
ATTR00001382,USR00009240,CMP000036,2024-11-21,Click,YouTube,Mobile,Linear,0.8,True,0
ATTR00001383,USR00009997,CMP000094,2025-01-29,View,Programmatic,Tablet,Time Decay,0.56,False,0
ATTR00001384,USR00006257,CMP000042,2025-02-10,Click,Google Ads,Smart TV,Linear,0.94,False,0
ATTR00001385,USR00003508,CMP000002,2024-09-14,Impression,LinkedIn,Web Browser,Time Decay,0.48,False,0
ATTR00001386,USR00004235,CMP000056,2025-03-09,Impression,TikTok,Smart TV,Last Touch,0.93,False,0
ATTR00001387,USR00009893,CMP000084,2024-11-29,View,YouTube,Web Browser,Linear,0.47,False,10.93
ATTR00001388,USR00004061,CMP000087,2024-10-08,View,YouTube,Mobile,Last Touch,0.92,False,0
ATTR00001389,USR00007266,CMP000063,2024-11-07,Click,Twitter,Gaming Console,First Touch,0.5,False,0
ATTR00001390,USR00001877,CMP000079,2024-11-28,Click,Facebook,Mobile,Last Touch,0.72,False,0
ATTR00001391,USR00009252,CMP000090,2025-01-05,Click,Twitter,Mobile,First Touch,0.54,False,0
ATTR00001392,USR00002781,CMP000096,2024-10-04,View,YouTube,Tablet,First Touch,0.46,False,0
ATTR00001393,USR00003869,CMP000032,2025-05-21,Impression,Instagram,Smart TV,Time Decay,0.92,False,0
ATTR00001394,USR00003303,CMP000016,2024-11-17,View,YouTube,Mobile,Time Decay,0.84,True,0
ATTR00001395,USR00006279,CMP000067,2024-12-24,Click,LinkedIn,Streaming Device,First Touch,0.61,True,0
ATTR00001396,USR00003959,CMP000082,2025-05-26,View,TikTok,Mobile,First Touch,0.47,False,0
ATTR00001397,USR00003163,CMP000036,2024-12-18,Impression,Google Ads,Mobile,Linear,0.99,False,0
ATTR00001398,USR00008793,CMP000028,2025-06-22,View,Programmatic,Smart TV,Linear,0.22,True,0
ATTR00001399,USR00006060,CMP000009,2025-03-05,Click,Instagram,Streaming Device,Time Decay,0.14,False,0
ATTR00001400,USR00004304,CMP000068,2025-05-10,Click,Programmatic,Gaming Console,First Touch,0.43,False,0
ATTR00001401,USR00008468,CMP000062,2024-08-13,View,Twitter,Mobile,Time Decay,0.47,True,0
ATTR00001402,USR00009324,CMP000072,2024-09-19,Click,Programmatic,Web Browser,First Touch,0.71,False,0
ATTR00001403,USR00006703,CMP000001,2024-08-07,View,Twitter,Tablet,First Touch,0.41,False,0
ATTR00001404,USR00003938,CMP000079,2024-11-14,Impression,Facebook,Smart TV,Linear,0.5,False,0
ATTR00001405,USR00007685,CMP000067,2025-01-08,Click,Twitter,Smart TV,Linear,0.83,False,0
ATTR00001406,USR00002416,CMP000091,2024-11-30,Impression,TikTok,Web Browser,Linear,0.38,False,0
ATTR00001407,USR00008471,CMP000040,2024-11-23,Click,Facebook,Web Browser,Time Decay,0.86,False,0
ATTR00001408,USR00001847,CMP000019,2024-09-19,View,YouTube,Web Browser,First Touch,0.58,False,0
ATTR00001409,USR00001777,CMP000040,2024-11-26,Click,Instagram,Mobile,First Touch,0.35,True,0
ATTR00001410,USR00000080,CMP000093,2024-07-13,Impression,Programmatic,Web Browser,Time Decay,0.57,False,0
ATTR00001411,USR00008035,CMP000006,2024-12-19,Impression,Google Ads,Smart TV,Time Decay,0.66,False,0
ATTR00001412,USR00009215,CMP000044,2025-02-24,Impression,TikTok,Mobile,Linear,0.16,True,0
ATTR00001413,USR00007705,CMP000064,2025-03-10,Impression,Instagram,Mobile,Last Touch,0.94,False,0
ATTR00001414,USR00008384,CMP000066,2025-02-25,View,TikTok,Streaming Device,Time Decay,0.41,False,19.79
ATTR00001415,USR00006355,CMP000079,2024-11-29,Click,LinkedIn,Web Browser,Linear,0.65,False,0
ATTR00001416,USR00006658,CMP000050,2024-10-24,Impression,Twitter,Gaming Console,Linear,0.52,False,0
ATTR00001417,USR00006542,CMP000073,2024-11-08,View,YouTube,Tablet,Linear,0.98,False,0
ATTR00001418,USR00000180,CMP000052,2025-01-09,View,Instagram,Smart TV,Linear,0.84,False,0
ATTR00001419,USR00002616,CMP000084,2024-11-01,Click,YouTube,Tablet,Last Touch,0.55,False,0
ATTR00001420,USR00005459,CMP000012,2025-01-30,Click,Instagram,Mobile,Time Decay,0.62,False,0
ATTR00001421,USR00001846,CMP000079,2024-11-17,View,LinkedIn,Web Browser,First Touch,0.95,False,0
ATTR00001422,USR00003172,CMP000076,2025-02-06,Click,Facebook,Mobile,Linear,0.55,False,0
ATTR00001423,USR00004423,CMP000062,2024-07-26,Click,Instagram,Smart TV,Time Decay,0.42,False,0
ATTR00001424,USR00000564,CMP000013,2025-06-11,Impression,Facebook,Mobile,Last Touch,0.11,False,0
ATTR00001425,USR00001423,CMP000030,2024-08-13,Impression,YouTube,Web Browser,Linear,0.99,False,0
ATTR00001426,USR00008459,CMP000009,2025-02-05,View,YouTube,Mobile,First Touch,0.99,True,11.12
ATTR00001427,USR00007915,CMP000002,2024-09-03,View,LinkedIn,Tablet,Time Decay,0.97,False,0
ATTR00001428,USR00002552,CMP000003,2024-09-28,Impression,Twitter,Smart TV,Time Decay,0.24,False,0
ATTR00001429,USR00007127,CMP000043,2025-04-28,Click,YouTube,Smart TV,Time Decay,0.23,True,0
ATTR00001430,USR00006331,CMP000074,2024-10-02,Impression,LinkedIn,Web Browser,Time Decay,0.47,False,0
ATTR00001431,USR00009594,CMP000045,2025-01-29,Click,Google Ads,Mobile,First Touch,0.61,True,0
ATTR00001432,USR00009040,CMP000078,2025-06-13,View,Instagram,Smart TV,Linear,0.92,True,0
ATTR00001433,USR00002710,CMP000048,2025-03-12,Impression,TikTok,Mobile,Time Decay,0.34,False,0
ATTR00001434,USR00008153,CMP000041,2024-11-07,Click,YouTube,Smart TV,Time Decay,0.35,False,0
ATTR00001435,USR00002248,CMP000048,2025-02-23,View,Twitter,Mobile,Time Decay,0.11,False,0
ATTR00001436,USR00000048,CMP000063,2024-11-25,Impression,Facebook,Gaming Console,Time Decay,0.93,False,0
ATTR00001437,USR00006801,CMP000013,2025-06-03,View,Facebook,Smart TV,Linear,0.16,False,0
ATTR00001438,USR00002604,CMP000071,2025-05-16,Impression,Instagram,Web Browser,Linear,0.99,False,0
ATTR00001439,USR00003747,CMP000003,2024-09-17,Impression,YouTube,Web Browser,Time Decay,0.27,False,0
ATTR00001440,USR00000490,CMP000005,2024-12-20,View,TikTok,Mobile,Linear,0.95,False,0
ATTR00001441,USR00001226,CMP000011,2024-08-09,View,TikTok,Streaming Device,First Touch,0.97,False,0
ATTR00001442,USR00009943,CMP000058,2024-12-10,Impression,Twitter,Smart TV,Linear,0.42,False,0
ATTR00001443,USR00009620,CMP000039,2025-05-25,Click,Google Ads,Smart TV,Last Touch,0.62,False,0
ATTR00001444,USR00001870,CMP000012,2025-01-16,View,Google Ads,Mobile,Last Touch,0.79,False,0
ATTR00001445,USR00001078,CMP000049,2025-02-10,Impression,Programmatic,Smart TV,Time Decay,0.27,False,0
ATTR00001446,USR00008188,CMP000037,2024-09-06,Click,YouTube,Mobile,First Touch,0.45,False,18.49
ATTR00001447,USR00007489,CMP000015,2025-01-31,View,Programmatic,Mobile,Time Decay,0.44,False,0
ATTR00001448,USR00008451,CMP000014,2025-03-11,View,Programmatic,Web Browser,Last Touch,0.61,True,16.46
ATTR00001449,USR00009218,CMP000030,2024-08-26,Click,Programmatic,Mobile,Linear,0.37,False,0
ATTR00001450,USR00000852,CMP000021,2024-07-15,Click,YouTube,Gaming Console,Linear,0.73,False,0
ATTR00001451,USR00009349,CMP000089,2024-11-27,Click,Facebook,Smart TV,Linear,0.18,False,0
ATTR00001452,USR00002892,CMP000010,2024-12-09,Click,LinkedIn,Tablet,First Touch,0.9,True,0
ATTR00001453,USR00003551,CMP000041,2024-11-10,Click,LinkedIn,Web Browser,First Touch,0.44,False,0
ATTR00001454,USR00004765,CMP000033,2025-02-26,View,YouTube,Tablet,First Touch,0.32,False,14.38
ATTR00001455,USR00003618,CMP000064,2025-03-17,Impression,Google Ads,Smart TV,First Touch,0.39,False,0
ATTR00001456,USR00001461,CMP000077,2024-12-15,Click,Instagram,Smart TV,Time Decay,0.1,False,0
ATTR00001457,USR00004228,CMP000066,2025-03-03,Click,Google Ads,Smart TV,First Touch,0.53,False,16.64
ATTR00001458,USR00002064,CMP000078,2025-06-14,Click,Instagram,Streaming Device,First Touch,0.47,True,0
ATTR00001459,USR00009934,CMP000011,2024-08-17,View,Twitter,Mobile,Linear,0.2,False,0
ATTR00001460,USR00006970,CMP000052,2025-01-24,Click,TikTok,Smart TV,Linear,0.2,False,0
ATTR00001461,USR00006157,CMP000080,2025-01-31,Impression,Programmatic,Gaming Console,First Touch,0.22,False,0
ATTR00001462,USR00009858,CMP000029,2024-10-10,Impression,LinkedIn,Gaming Console,Time Decay,0.25,False,0
ATTR00001463,USR00005042,CMP000050,2024-10-22,View,Facebook,Smart TV,Last Touch,0.45,False,20.91
ATTR00001464,USR00009645,CMP000023,2025-05-15,View,Programmatic,Web Browser,First Touch,0.71,False,0
ATTR00001465,USR00008474,CMP000037,2024-09-01,Click,Twitter,Tablet,Time Decay,0.78,False,0
ATTR00001466,USR00003680,CMP000045,2025-01-21,Impression,TikTok,Smart TV,First Touch,0.5,False,0
ATTR00001467,USR00006702,CMP000022,2025-06-09,Impression,LinkedIn,Smart TV,Time Decay,0.94,True,0
ATTR00001468,USR00006632,CMP000001,2024-08-07,Impression,YouTube,Mobile,Linear,0.54,True,0
ATTR00001469,USR00002658,CMP000053,2024-12-31,Click,Facebook,Web Browser,Time Decay,0.88,False,0
ATTR00001470,USR00001116,CMP000044,2025-03-05,Click,Facebook,Smart TV,Linear,0.65,False,0
ATTR00001471,USR00000615,CMP000083,2025-02-15,Impression,Programmatic,Gaming Console,Linear,0.8,False,0
ATTR00001472,USR00001027,CMP000092,2024-10-31,View,YouTube,Web Browser,Last Touch,0.18,True,0
ATTR00001473,USR00004519,CMP000026,2024-12-10,Impression,Programmatic,Smart TV,Linear,0.97,False,19.64
ATTR00001474,USR00002581,CMP000024,2025-04-04,View,Facebook,Mobile,Last Touch,0.97,False,0
ATTR00001475,USR00004821,CMP000007,2024-09-30,Impression,Instagram,Mobile,Linear,0.23,False,0
ATTR00001476,USR00005126,CMP000056,2025-02-28,View,Facebook,Smart TV,Time Decay,0.76,False,22.16
ATTR00001477,USR00007126,CMP000028,2025-06-13,View,Programmatic,Smart TV,First Touch,0.58,True,0
ATTR00001478,USR00003011,CMP000071,2025-05-18,Impression,LinkedIn,Web Browser,Linear,0.46,False,17.71
ATTR00001479,USR00002252,CMP000100,2024-09-13,View,TikTok,Tablet,Time Decay,0.97,False,0
ATTR00001480,USR00003924,CMP000067,2024-12-30,Click,Programmatic,Smart TV,Time Decay,0.97,False,0
ATTR00001481,USR00009263,CMP000008,2024-08-23,View,Instagram,Smart TV,Last Touch,0.29,False,0
ATTR00001482,USR00001347,CMP000059,2025-01-18,View,Facebook,Smart TV,Linear,0.62,False,0
ATTR00001483,USR00005219,CMP000078,2025-06-12,Impression,Programmatic,Smart TV,Last Touch,0.58,True,0
ATTR00001484,USR00000929,CMP000084,2024-10-30,View,TikTok,Streaming Device,Last Touch,0.39,False,10.31
ATTR00001485,USR00007542,CMP000079,2024-11-06,View,Facebook,Web Browser,Last Touch,0.97,True,0
ATTR00001486,USR00001588,CMP000067,2024-12-23,View,Instagram,Mobile,First Touch,0.53,True,0
ATTR00001487,USR00004684,CMP000056,2025-03-06,View,TikTok,Tablet,First Touch,0.79,False,0
ATTR00001488,USR00008063,CMP000082,2025-06-08,View,Instagram,Mobile,Linear,0.87,False,0
ATTR00001489,USR00003969,CMP000022,2025-06-02,View,Facebook,Mobile,Linear,0.84,False,0
ATTR00001490,USR00003720,CMP000035,2025-02-02,Impression,YouTube,Mobile,First Touch,0.87,False,0
ATTR00001491,USR00005920,CMP000027,2025-03-04,Click,Twitter,Mobile,First Touch,0.74,False,0
ATTR00001492,USR00004407,CMP000074,2024-09-10,Click,Google Ads,Smart TV,Linear,0.7,False,0
ATTR00001493,USR00000496,CMP000074,2024-09-14,View,YouTube,Tablet,Last Touch,0.39,False,0
ATTR00001494,USR00005672,CMP000076,2025-02-15,View,Facebook,Tablet,First Touch,0.17,False,0
ATTR00001495,USR00009795,CMP000020,2025-06-26,View,Google Ads,Web Browser,First Touch,0.43,False,10.19
ATTR00001496,USR00000386,CMP000064,2025-03-21,Impression,Facebook,Smart TV,Linear,0.46,False,0
ATTR00001497,USR00004532,CMP000085,2025-03-02,Impression,YouTube,Streaming Device,Last Touch,0.69,False,0
ATTR00001498,USR00000640,CMP000026,2024-11-14,View,Instagram,Tablet,Last Touch,0.89,False,0
ATTR00001499,USR00002257,CMP000063,2024-11-20,View,Facebook,Web Browser,Last Touch,0.55,False,0
ATTR00001500,USR00004527,CMP000086,2024-07-23,Click,Facebook,Mobile,Time Decay,0.59,False,21.05
ATTR00001501,USR00005327,CMP000051,2024-09-07,Click,TikTok,Mobile,First Touch,0.27,False,0
ATTR00001502,USR00006636,CMP000033,2025-03-26,Click,TikTok,Smart TV,Last Touch,0.74,False,20.18
ATTR00001503,USR00005301,CMP000048,2025-03-13,Click,Instagram,Mobile,First Touch,0.5,False,0
ATTR00001504,USR00004358,CMP000019,2024-09-17,Click,YouTube,Smart TV,Linear,0.61,False,0
ATTR00001505,USR00001077,CMP000098,2025-02-01,Click,Programmatic,Streaming Device,Last Touch,0.21,False,14.54
ATTR00001506,USR00005650,CMP000094,2025-01-31,View,YouTube,Tablet,Time Decay,0.26,False,19.31
ATTR00001507,USR00008700,CMP000084,2024-11-06,Click,Twitter,Smart TV,Last Touch,0.56,False,0
ATTR00001508,USR00004011,CMP000049,2025-01-21,Click,LinkedIn,Smart TV,Time Decay,0.13,False,0
ATTR00001509,USR00000088,CMP000073,2024-10-29,Click,LinkedIn,Mobile,First Touch,0.24,False,0
ATTR00001510,USR00008085,CMP000077,2024-12-18,Click,Facebook,Smart TV,Linear,0.27,False,21.37
ATTR00001511,USR00008014,CMP000081,2025-03-27,View,LinkedIn,Smart TV,Last Touch,0.11,False,14.96
ATTR00001512,USR00008885,CMP000070,2025-05-03,Click,Facebook,Tablet,Last Touch,0.48,False,0
ATTR00001513,USR00004855,CMP000011,2024-08-08,View,Instagram,Smart TV,First Touch,0.69,True,0
ATTR00001514,USR00000977,CMP000034,2025-04-29,View,Facebook,Mobile,Linear,0.74,False,15.43
ATTR00001515,USR00009231,CMP000027,2025-02-23,Impression,LinkedIn,Tablet,Last Touch,0.24,False,10.95
ATTR00001516,USR00005150,CMP000081,2025-03-31,View,Google Ads,Mobile,Time Decay,0.3,False,0
ATTR00001517,USR00007423,CMP000091,2024-12-02,Click,TikTok,Mobile,Time Decay,0.41,False,0
ATTR00001518,USR00008950,CMP000053,2024-12-03,Click,TikTok,Smart TV,Last Touch,0.8,True,14.11
ATTR00001519,USR00004493,CMP000089,2024-12-04,Impression,YouTube,Tablet,Linear,0.21,False,0
ATTR00001520,USR00005768,CMP000053,2024-12-09,Click,Google Ads,Smart TV,Time Decay,0.35,False,0
ATTR00001521,USR00007162,CMP000086,2024-07-29,View,Programmatic,Mobile,First Touch,0.86,False,0
ATTR00001522,USR00009706,CMP000094,2025-02-15,Click,Facebook,Tablet,Linear,0.49,True,0
ATTR00001523,USR00006948,CMP000052,2025-01-26,Click,Facebook,Smart TV,Time Decay,0.19,False,17.96
ATTR00001524,USR00003443,CMP000008,2024-09-02,Click,YouTube,Mobile,Time Decay,0.11,True,0
ATTR00001525,USR00001161,CMP000002,2024-08-31,Impression,LinkedIn,Tablet,Last Touch,0.58,False,0
ATTR00001526,USR00008723,CMP000046,2025-06-24,Click,Google Ads,Mobile,Time Decay,0.11,False,16.93
ATTR00001527,USR00001606,CMP000044,2025-03-10,Impression,Facebook,Tablet,Linear,0.62,False,0
ATTR00001528,USR00000652,CMP000088,2025-01-12,Impression,YouTube,Mobile,Linear,0.42,False,0
ATTR00001529,USR00002941,CMP000024,2025-04-15,Click,TikTok,Web Browser,Linear,0.74,False,0
ATTR00001530,USR00001779,CMP000071,2025-05-14,View,TikTok,Tablet,Time Decay,0.49,False,0
ATTR00001531,USR00009090,CMP000037,2024-08-25,View,TikTok,Web Browser,First Touch,0.87,False,0
ATTR00001532,USR00005434,CMP000025,2024-08-13,Impression,YouTube,Smart TV,First Touch,0.49,False,0
ATTR00001533,USR00009777,CMP000027,2025-02-16,Impression,Google Ads,Smart TV,First Touch,0.78,False,9.85
ATTR00001534,USR00005214,CMP000094,2025-01-17,View,Twitter,Smart TV,Time Decay,0.22,False,0
ATTR00001535,USR00004525,CMP000034,2025-05-19,Click,Twitter,Web Browser,Linear,0.28,False,0
ATTR00001536,USR00009625,CMP000011,2024-08-11,View,Twitter,Web Browser,First Touch,0.87,False,0
ATTR00001537,USR00005224,CMP000072,2024-09-13,Click,Google Ads,Mobile,Last Touch,0.52,False,0
ATTR00001538,USR00006300,CMP000073,2024-10-19,Click,LinkedIn,Smart TV,Last Touch,0.68,False,10.42
ATTR00001539,USR00005339,CMP000036,2024-12-10,View,Google Ads,Gaming Console,Time Decay,0.38,False,0
ATTR00001540,USR00006428,CMP000057,2025-03-23,Impression,Twitter,Gaming Console,Last Touch,0.77,False,9.14
ATTR00001541,USR00003771,CMP000085,2025-03-02,Click,Twitter,Smart TV,First Touch,0.82,False,0
ATTR00001542,USR00005785,CMP000043,2025-05-12,Impression,Programmatic,Web Browser,Linear,0.31,False,0
ATTR00001543,USR00004021,CMP000095,2024-09-04,Click,Facebook,Mobile,First Touch,0.52,False,0
ATTR00001544,USR00004261,CMP000056,2025-03-11,Click,TikTok,Web Browser,Last Touch,0.48,False,0
ATTR00001545,USR00008605,CMP000075,2025-02-13,Click,Facebook,Streaming Device,Linear,0.17,False,11.04
ATTR00001546,USR00004616,CMP000072,2024-09-03,View,YouTube,Smart TV,Last Touch,0.93,False,0
ATTR00001547,USR00008556,CMP000086,2024-08-12,Click,LinkedIn,Mobile,Last Touch,0.13,False,0
ATTR00001548,USR00005020,CMP000062,2024-07-20,Click,YouTube,Mobile,Linear,0.46,False,0
ATTR00001549,USR00000582,CMP000067,2025-01-08,View,Instagram,Tablet,First Touch,0.29,False,0
ATTR00001550,USR00000902,CMP000076,2025-03-03,Impression,Twitter,Mobile,Time Decay,0.5,False,0
ATTR00001551,USR00005727,CMP000068,2025-05-29,Impression,LinkedIn,Smart TV,Last Touch,0.76,False,0
ATTR00001552,USR00008952,CMP000011,2024-08-11,Impression,YouTube,Smart TV,Linear,0.27,True,0
ATTR00001553,USR00007420,CMP000076,2025-03-02,Impression,Programmatic,Mobile,Linear,0.64,False,0
ATTR00001554,USR00000150,CMP000050,2024-10-30,Impression,Programmatic,Mobile,Time Decay,0.19,False,0
ATTR00001555,USR00003024,CMP000019,2024-09-23,Impression,YouTube,Smart TV,First Touch,0.93,True,0
ATTR00001556,USR00001566,CMP000040,2024-11-24,Impression,Facebook,Streaming Device,Time Decay,0.46,False,0
ATTR00001557,USR00002969,CMP000064,2025-03-17,View,YouTube,Web Browser,Last Touch,0.65,False,21.93
ATTR00001558,USR00000614,CMP000014,2025-02-16,Click,TikTok,Smart TV,Linear,0.57,True,0
ATTR00001559,USR00008092,CMP000100,2024-09-08,Impression,Instagram,Mobile,Linear,0.74,False,0
ATTR00001560,USR00002746,CMP000092,2024-11-14,Impression,Facebook,Gaming Console,Linear,0.74,False,18.93
ATTR00001561,USR00000385,CMP000031,2024-11-10,View,Programmatic,Tablet,Time Decay,0.3,True,0
ATTR00001562,USR00000423,CMP000008,2024-08-25,View,Twitter,Smart TV,Linear,0.14,False,20.1
ATTR00001563,USR00005882,CMP000045,2025-01-28,Click,Facebook,Smart TV,Last Touch,0.91,False,0
ATTR00001564,USR00001776,CMP000057,2025-03-17,Impression,Programmatic,Mobile,First Touch,0.11,False,0
ATTR00001565,USR00006314,CMP000016,2024-12-09,View,TikTok,Tablet,Time Decay,0.29,False,0
ATTR00001566,USR00000956,CMP000021,2024-07-23,Impression,YouTube,Mobile,Time Decay,0.53,False,0
ATTR00001567,USR00005817,CMP000024,2025-04-20,View,YouTube,Web Browser,Last Touch,0.76,False,0
ATTR00001568,USR00000550,CMP000092,2024-11-02,Click,Google Ads,Gaming Console,First Touch,0.81,False,0
ATTR00001569,USR00005248,CMP000100,2024-09-21,Impression,YouTube,Mobile,Linear,0.53,False,0
ATTR00001570,USR00008157,CMP000045,2025-01-30,View,TikTok,Tablet,First Touch,0.29,True,0
ATTR00001571,USR00007335,CMP000047,2025-04-09,Impression,Instagram,Mobile,Last Touch,0.39,False,0
ATTR00001572,USR00000154,CMP000086,2024-07-20,View,LinkedIn,Tablet,Time Decay,0.46,False,0
ATTR00001573,USR00004953,CMP000094,2025-02-08,View,Instagram,Mobile,Linear,0.61,False,16.97
ATTR00001574,USR00001386,CMP000002,2024-09-08,View,Facebook,Smart TV,Last Touch,0.14,False,0
ATTR00001575,USR00004418,CMP000007,2024-09-27,Click,YouTube,Web Browser,Last Touch,0.2,False,0
ATTR00001576,USR00005891,CMP000096,2024-10-10,Click,TikTok,Smart TV,Linear,0.58,False,0
ATTR00001577,USR00008299,CMP000046,2025-06-20,Click,TikTok,Tablet,Linear,0.61,False,0
ATTR00001578,USR00004284,CMP000071,2025-05-22,Impression,TikTok,Web Browser,First Touch,0.44,True,0
ATTR00001579,USR00009644,CMP000063,2024-11-06,View,Programmatic,Streaming Device,Time Decay,0.22,False,0
ATTR00001580,USR00009088,CMP000073,2024-10-20,Click,Google Ads,Web Browser,First Touch,0.75,False,0
ATTR00001581,USR00001408,CMP000010,2024-12-25,View,Instagram,Tablet,Last Touch,0.38,False,19.02
ATTR00001582,USR00008326,CMP000083,2025-02-14,Impression,YouTube,Mobile,First Touch,0.89,False,12.74
ATTR00001583,USR00004598,CMP000044,2025-02-26,Click,Programmatic,Smart TV,Linear,0.36,False,0
ATTR00001584,USR00000396,CMP000032,2025-06-01,Click,Instagram,Mobile,Time Decay,0.47,False,0
ATTR00001585,USR00006172,CMP000079,2024-11-18,View,TikTok,Tablet,First Touch,0.26,False,0
ATTR00001586,USR00009938,CMP000074,2024-09-18,Click,Google Ads,Smart TV,Linear,0.87,False,0
ATTR00001587,USR00008632,CMP000060,2024-09-20,Click,TikTok,Smart TV,Linear,0.8,True,21.05
ATTR00001588,USR00002639,CMP000012,2025-01-15,View,Facebook,Mobile,Linear,0.64,False,0
ATTR00001589,USR00009684,CMP000099,2025-02-24,Click,Programmatic,Streaming Device,Linear,0.76,False,9.58
ATTR00001590,USR00009791,CMP000034,2025-05-03,Impression,LinkedIn,Tablet,Time Decay,0.34,False,0
ATTR00001591,USR00006842,CMP000054,2024-11-18,Impression,Facebook,Streaming Device,Linear,0.43,False,16.42
ATTR00001592,USR00003162,CMP000038,2025-05-23,Click,Programmatic,Streaming Device,First Touch,0.75,False,0
ATTR00001593,USR00008175,CMP000077,2025-01-08,View,TikTok,Web Browser,Time Decay,0.96,False,0
ATTR00001594,USR00002408,CMP000035,2025-02-13,Impression,Facebook,Tablet,Time Decay,0.4,False,16.51
ATTR00001595,USR00001735,CMP000009,2025-02-20,View,YouTube,Mobile,First Touch,0.53,False,0
ATTR00001596,USR00008460,CMP000043,2025-05-06,View,Facebook,Tablet,First Touch,0.35,False,0
ATTR00001597,USR00007929,CMP000085,2025-03-09,Click,TikTok,Gaming Console,Last Touch,0.99,False,20.76
ATTR00001598,USR00007656,CMP000028,2025-06-17,Click,LinkedIn,Gaming Console,Linear,0.11,False,0
ATTR00001599,USR00004335,CMP000051,2024-09-24,Click,Programmatic,Gaming Console,Last Touch,0.31,False,0
ATTR00001600,USR00006618,CMP000006,2024-12-18,Impression,LinkedIn,Gaming Console,Linear,0.95,True,0
ATTR00001601,USR00009709,CMP000057,2025-03-22,Impression,YouTube,Streaming Device,Time Decay,0.73,False,0
ATTR00001602,USR00009406,CMP000053,2024-12-05,Click,Instagram,Gaming Console,Last Touch,0.47,False,0
ATTR00001603,USR00003490,CMP000021,2024-08-04,Impression,Google Ads,Web Browser,Last Touch,0.68,True,0
ATTR00001604,USR00009653,CMP000004,2024-11-19,Click,TikTok,Smart TV,Time Decay,0.11,False,0
ATTR00001605,USR00003898,CMP000020,2025-06-05,Impression,TikTok,Smart TV,Time Decay,0.73,False,0
ATTR00001606,USR00000225,CMP000066,2025-03-09,View,YouTube,Smart TV,Linear,0.71,False,0
ATTR00001607,USR00000153,CMP000037,2024-09-16,Impression,LinkedIn,Streaming Device,Last Touch,0.26,False,0
ATTR00001608,USR00004481,CMP000038,2025-05-07,Impression,YouTube,Smart TV,Last Touch,0.39,False,0
ATTR00001609,USR00002210,CMP000082,2025-06-11,Impression,Google Ads,Smart TV,First Touch,0.29,True,0
ATTR00001610,USR00009778,CMP000001,2024-07-26,View,LinkedIn,Streaming Device,Last Touch,0.65,False,0
